Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Indiana County, Pennsylvania";33098;21675;7088;17002;5167;1793;653;2880;1268;11423;8803;3923;7968;10936;2.37;2.82;78304;33098;17135;19110;3178;5783;1680;36183;14584;17641;393;423;3142;36154;11094;17594;484;3266;3716;22714;1009;846;6425;3033;11401;55678;2317;3001;23583;7822;5395;7030;6530;50360;13560;69646;5318;83204;12940;14818;392;51969;6707;16417;5841
"Mercer County, Pennsylvania";46809;29050;11303;21264;6795;2178;1355;5608;3153;17759;14617;7672;12230;16911;2.21;2.75;103423;46809;21018;26839;3085;5672;4148;45773;14720;22778;756;1796;5723;47605;12179;21335;1485;6708;5898;23667;1524;920;9535;5108;6580;78655;2863;5576;33771;11954;8473;10418;5600;70216;16018;89335;8946;106553;20443;20476;1685;63370;10277;22707;8481
"Montgomery County, Pennsylvania";313336;217738;92808;176716;73785;12014;5034;29008;13989;95598;80417;37567;100302;101364;2.58;3.13;806860;313336;176756;244231;42154;30383;14784;328514;109839;186101;2691;8085;21798;353784;95156;187362;4860;31779;34627;198501;14726;8846;80802;44052;50075;583988;13458;20222;139829;83242;43028;160580;123629;550308;284209;650130;37932;815035;83171;177711;5247;496375;36781;140949;41143
"Somerset County, Pennsylvania";28796;20003;6854;15719;4866;1127;715;3157;1273;8793;7467;3910;7456;10681;2.38;2.84;68650;28796;15729;18165;2989;2971;1864;32981;10308;17478;597;1008;3590;30331;6180;15967;125;3700;4359;12397;603;806;5609;3100;2279;55804;1577;4164;28026;8621;4657;5736;3023;50063;8759;60848;5125;68890;12057;13082;522;40115;5907;15693;5628
"York County, Pennsylvania";173958;120331;47737;92539;32378;9159;4859;18633;10500;53627;44340;20912;52826;55015;2.52;3.03;439241;173958;92209;128900;23589;20585;12796;180034;57356;96041;2913;5614;18110;186775;47198;96492;4407;18787;19891;100054;5879;5798;45232;22498;20647;311944;9979;21105;122067;48814;30105;52368;27506;280860;79874;349211;29172;443256;61923;98854;6374;268593;30694;75809;24855
"Providence County, Rhode Island";237038;138683;60109;88731;33977;12980;5860;36972;20272;98355;78309;31119;66801;70328;2.58;3.37;610467;237038;88650;191008;48675;45096;20319;254689;120592;98077;3929;7425;24666;274063;112350;98071;5249;25475;32918;148371;7508;6440;55798;29479;49146;437812;26087;31664;141127;80731;32971;74546;50686;380061;125232;505985;24542;627044;95527;129810;5931;404490;55542;92744;34054
"Anderson County, South Carolina";78500;52409;19535;40700;13697;2365;951;9344;4887;26091;22063;10589;22208;26339;2.52;3.11;198155;78500;40360;55030;15132;9133;4847;77719;22473;43714;1155;2968;7409;85276;22201;42774;2357;7725;10219;47487;3134;2262;20424;10859;10808;137123;7923;13742;40749;25354;16726;20715;11914;115458;32629;154943;13288;199149;31004;45405;1210;118777;15056;34967;14738
"Beaufort County, South Carolina";74679;52507;16135;42047;10476;2059;1347;8401;4312;22172;19759;8553;17960;32734;2.45;2.92;183194;74679;41868;45936;13163;7548;2945;76784;20727;44113;1328;2036;8580;82510;17022;45995;2379;8853;8261;35147;3315;1488;14000;8248;8096;135336;3203;7317;29869;26511;10443;33746;24247;124816;57993;146928;20115;181126;23872;35208;991;94872;10510;51046;12371
"Minnehaha County, South Dakota";76630;47106;23135;36082;16259;2279;939;8745;5937;29524;23575;7937;24847;18062;2.43;3.06;186199;76630;36007;55152;5715;12695;4640;76312;26734;38878;906;1742;8052;74997;21470;36370;1380;5628;10149;47164;4131;2506;20726;10247;9554;127542;4210;5177;33309;24484;16942;29424;13996;118155;43420;143521;11493;189856;21480;48651;2292;116563;12424;24642;6764
"Montgomery County, Tennessee";72973;52385;28658;38558;19720;2945;1794;10882;7144;20588;16916;4377;31548;12942;2.77;3.25;202003;72973;38375;67149;12443;11063;4172;79121;27125;41214;906;1790;8086;80038;21971;40857;933;5139;11138;54607;1362;2180;24503;9703;16859;127781;1611;5590;35280;32042;14077;26479;12702;120580;39181;140027;29836;193394;32200;54940;3854;120366;20367;18088;7979
"Rutherford County, Tennessee";115376;79776;37132;58769;26488;6143;3111;14864;7533;35600;24712;7702;42454;23578;2.77;3.24;319979;115376;59131;97716;22042;25714;7063;125321;48252;62306;1374;2154;11235;132676;40226;64663;3143;10277;14367;90101;3866;5616;35733;17690;27196;204884;6249;10857;56714;51796;17269;44250;17749;187778;61999;244404;18934;322294;36057;79784;3241;209534;22051;32976;10765
"Sumner County, Tennessee";68439;49307;20698;37675;14711;3811;2399;7821;3588;19132;15922;6939;23264;20364;2.71;3.16;185772;68439;37745;56124;12390;11074;4435;72736;21248;39571;1202;1785;8930;77707;18717;38929;1147;7557;11357;42014;2624;1397;20614;9893;7486;129332;5659;8576;39444;32369;9377;23379;10528;115097;33907;143233;11346;185849;28188;43916;2260;113091;14760;28842;11168
"Williamson County, Tennessee";80601;63944;33555;55304;28092;1869;1158;6771;4305;16657;13624;5384;35503;19864;2.87;3.25;231279;80601;55324;79868;8709;6777;2140;88015;21969;58748;580;1753;4965;92715;21179;56087;835;5040;9574;65579;5938;2657;30625;18093;8266;151337;2196;4010;18884;22051;9422;61268;33506;145131;94774;168568;8882;231238;13660;63060;1566;137753;5481;30425;6613
"Ector County, Texas";54326;38983;19680;26770;12596;2936;1393;9277;5691;15343;13687;4518;22045;10937;2.95;3.53;160432;54326;26198;59242;13228;7438;4088;61163;18655;32594;1408;1971;6535;59351;15949;29015;1783;5488;7116;44137;1990;3489;18901;12298;7459;96980;9866;13500;29083;22264;6646;10494;5127;73614;15621;113190;5554;161050;15632;48900;1162;97280;7715;14870;6755
"Gregg County, Texas";45513;29512;11212;20611;6961;2559;832;6342;3419;16001;12443;4719;13551;12832;2.63;3.28;119497;45513;20435;37509;9297;6743;3484;45935;17821;20299;1328;711;5776;51181;14463;23387;926;4325;8080;29600;1370;446;15496;6486;5802;80060;4737;6833;23968;21399;6435;10599;6089;68490;16688;91991;7718;121735;16858;31690;2229;71929;8160;18116;6469
"Johnson County, Texas";59180;44857;19832;35360;14904;4224;1800;5273;3128;14323;11861;4399;24024;16595;2.85;3.26;168782;59180;35171;51522;14568;8341;2579;66805;18019;37468;1816;2013;7489;67660;14008;39414;1293;4781;8164;33964;2224;1945;16823;7870;5102;112596;6818;9877;39717;28311;7731;13429;6713;95901;20142;126613;7637;168904;15018;44421;753;101524;8326;22959;5939
"McLennan County, Texas";92158;60708;26827;42008;15487;4436;2706;14264;8634;31450;23972;8925;30948;25847;2.66;3.17;244707;92158;41676;71752;18410;20711;6702;97372;39130;47251;1557;1879;7555;104961;36085;44586;2438;8873;12979;74731;3760;2682;29029;13465;25795;155090;8373;14202;41208;36026;16553;25026;13702;132515;38728;191389;14799;250394;36142;62719;3664;152211;17435;35464;15043
"Nacogdoches County, Texas";23442;14717;6575;10648;4104;1643;853;2426;1618;8725;5928;2668;7491;7069;2.58;3.13;60441;23442;10374;17487;3489;5649;1835;25072;9669;11152;374;871;3006;27906;10407;11395;599;2334;3171;23079;1599;1736;6187;4079;9478;38182;3381;3373;11827;8275;3032;5504;2790;31428;8294;50361;3167;64924;12879;15330;1260;40529;7000;9065;4619
"Rockwall County, Texas";34590;29363;14432;25575;12847;1103;677;2685;908;5227;4395;1989;15686;8528;2.89;3.17;99924;34590;25287;32777;5530;1740;1174;37423;7466;27535;485;482;1455;40823;8951;26616;453;1638;3165;26334;1105;1569;13460;6313;3887;66782;1929;1899;13210;15973;6405;17235;10131;62954;27366;73295;6395;99743;7159;27170;542;60738;2849;11835;3768
"San Patricio County, Texas";22202;16235;7462;11357;4499;1353;601;3525;2362;5967;5302;2281;8723;6883;2.98;3.53;66086;22202;11283;23229;6536;2836;1205;26382;9604;12574;410;863;2931;25865;7097;12461;565;2729;3013;16687;1167;1081;8372;3377;2690;42295;3617;4381;13364;10592;3543;4670;2128;34297;6798;48991;4054;66122;11255;17741;835;38567;5231;9814;5189
"Smith County, Texas";77330;54682;21593;41326;15244;3088;1228;10268;5121;22648;19665;8247;26155;25692;2.90;3.53;224631;77330;41494;74708;22407;8692;2438;87031;28995;46655;968;1252;9161;96001;24714;46544;2004;9531;13208;60516;4238;4201;23528;13275;15274;150909;9204;11759;34354;38958;13935;27357;15342;129946;42699;173361;11038;227757;31333;56361;4643;134605;14547;36791;12143
"Tarrant County, Texas";722473;502918;241604;357527;161460;40446;20191;104945;59953;219555;177065;54937;270077;166193;2.85;3.43;2061115;722473;358205;698679;165213;116545;44572;787677;293772;394538;11349;14971;73047;841075;264538;389304;20924;58718;107591;562622;30314;31501;244943;126018;129846;1341329;85529;102078;325678;289769;106802;287114;144359;1153722;431473;1533828;117889;2068666;199602;548454;21430;1290046;101406;230166;76766
"Victoria County, Texas";31918;21814;8600;15497;5905;1301;772;5016;1923;10104;8857;4053;9763;10217;2.84;3.52;90736;31918;15530;31394;7955;3939;1305;34368;10982;18733;445;922;3286;38256;11549;15943;1157;4856;4751;23059;703;1228;11931;4451;4746;60238;3868;5130;19087;14456;5689;8386;3622;51240;12008;68341;5389;91066;13783;23570;1182;53083;6087;14413;6514
"Utah County, Utah";171117;140373;76473;120179;66552;6865;3285;13329;6636;30744;19893;7971;82673;32419;3.55;3.86;606623;171117;120227;243617;36979;34683;4184;224589;78906;131765;1565;2063;10290;222579;67243;129766;3147;9164;13259;244499;12215;10323;91997;46809;83155;309566;6282;10998;51871;77099;34019;88584;40713;292286;129297;413882;13923;618703;50719;206944;6777;364275;27413;47484;16529
"Frederick County, Virginia";31551;23773;7576;19516;6115;1279;476;2978;985;7778;6427;3319;8676;10825;2.77;3.16;87336;31551;19438;25390;6502;4455;1680;35603;10368;20360;688;1076;3111;35883;7351;21285;291;3007;3949;20662;886;1944;9342;5097;3393;61130;3103;3247;19322;12993;4793;9331;8341;54780;17672;67499;7478;87305;10317;20607;1121;51663;4196;15035;5000
"Stafford County, Virginia";48418;39246;19307;31304;14110;2730;1899;5212;3298;9172;6840;2238;21557;10187;3.03;3.33;146618;48418;31487;50874;9138;6701;3120;58908;18788;33817;704;1170;4429;58892;15986;33131;1795;2014;5966;43358;2001;1676;18130;9893;11658;96040;2617;4013;23229;18705;6983;25585;14908;89410;40493;106402;19756;143958;11106;39228;693;89526;6166;15204;4247
"Alexandria city, Virginia";71740;35480;15768;26578;11402;2306;875;6596;3491;36260;29173;8223;16527;14843;2.22;3.01;159054;71740;26496;36065;8889;15864;4735;63898;26407;29647;1989;476;5379;70985;28256;28511;598;5310;8310;32686;2907;1674;11264;6611;10230;120785;5668;2701;12651;16291;7375;35925;40174;112416;76099;127840;10398;156336;11564;29403;1413;107566;5523;19367;4628
"Suffolk city, Virginia";34890;24434;9209;18549;6869;1660;344;4225;1996;10456;8965;4180;10881;10102;2.60;3.15;90745;34890;18586;28072;5938;3259;1564;35103;10882;18987;1057;812;3365;37649;9732;20289;1227;3311;3090;22714;1178;1156;9540;5757;5083;61921;2549;4260;16610;13841;5042;11259;8360;55112;19619;67489;11586;89238;10860;22080;1018;54269;5448;12889;4394
"King County, Washington";897476;536144;237206;425241;181193;36433;17134;74470;38879;361332;262100;81110;253902;210885;2.45;3.05;2195307;897476;425026;558194;115674;198937;69426;926121;361591;466920;12252;15192;70166;925454;290358;459922;13688;53080;108406;517924;41293;25472;198955;94107;158097;1599265;49191;49538;241867;281857;125765;506976;344071;1500536;851047;1778647;99128;2219544;210515;452317;12624;1478351;108032;288876;89859
"Yakima County, Washington";83320;60727;30600;40388;18536;5849;3635;14490;8429;22593;18887;8569;35042;24277;2.97;3.46;247650;83320;40405;88351;20846;14728;6947;93320;36601;44063;2117;2184;8355;95415;30048;43879;1941;9234;10313;68002;3864;3736;35382;14989;10031;152659;21182;19329;42310;31566;12622;15520;10130;112148;25650;176908;10088;248778;31718;74403;3007;140701;16946;33674;11765
"Harrison County, West Virginia";26878;16051;5178;12341;3808;1169;294;2541;1076;10827;8630;4364;6805;9304;2.47;3.17;66419;26878;12458;16936;5436;4711;1515;27196;8778;13916;84;1214;3204;29286;7843;13529;551;3481;3882;13331;498;698;6374;3978;1783;48010;764;4939;19951;8183;3945;5827;4401;42307;10228;53552;4418;66874;11238;13941;1082;40261;5632;12672;4524
"Ozaukee County, Wisconsin";36261;25444;9966;21525;7583;1557;828;2362;1555;10817;9742;5089;10368;12705;2.40;2.89;87052;36261;21413;24584;1984;2810;1429;35880;9310;23063;150;788;2569;38080;9315;21276;403;3773;3313;20943;1594;1319;7949;4555;5526;62738;723;1143;12398;11943;5947;17992;12592;60872;30584;70186;3921;88681;8158;18961;966;52302;3061;17418;4131
"Walworth County, Wisconsin";40864;26923;10304;20341;6542;2418;1294;4164;2468;13941;10987;4915;11613;12272;2.47;2.94;100854;40864;20384;26617;5301;7688;2591;42985;15682;21647;664;886;4106;43571;12220;21702;318;3435;5896;27196;1177;1145;9155;5780;9939;69603;1793;5029;22704;15724;5815;12093;6445;62781;18538;82443;4727;103041;12949;21234;1025;64130;7236;17677;4688
"Waukesha County, Wisconsin";158368;110134;43172;95840;35981;4765;2423;9529;4768;48234;40147;18904;45860;52311;2.51;3.03;397937;158368;95782;115229;12869;15689;7130;162448;46831;98750;694;3665;12508;170704;37691;99250;1019;16623;16121;95330;6419;4498;38758;23321;22334;284512;3174;8076;62897;54198;26397;83932;45838;273262;129770;316221;20516;400321;40101;86030;2033;240344;16150;73947;21918
"Caguas Municipio, Puerto Rico";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"Cullman County, Alabama";30323;21587;8770;16778;6270;1680;643;3129;1857;8736;6714;4379;10758;10609;2.71;3.20;82192;30323;16860;21718;8951;4340;757;33209;8598;18639;426;1427;4119;34880;6434;18152;1547;4194;4553;17743;734;547;8867;4571;3024;58319;2733;7495;18149;15616;7267;4916;2143;48091;7059;64550;5804;82550;18036;18877;1344;48268;9479;15405;7213
"Shelby County, Alabama";80944;55341;23392;47386;19326;1959;695;5996;3371;25603;21288;8159;25364;22340;2.63;3.19;212606;80944;47235;64526;9570;10331;3466;84311;24710;49636;841;1583;7541;91601;21028;51264;1205;6815;11289;55117;3143;3256;21343;12192;15183;149389;3195;8002;28777;35932;12625;40179;20679;138192;60858;166889;14568;213983;25849;48619;1450;132485;12333;32879;12066
"Talladega County, Alabama";31219;21701;8389;14396;4539;1443;628;5862;3222;9518;8515;3624;10055;10087;2.45;2.94;76358;31219;14230;21978;5983;2948;1323;31615;10187;16161;705;918;3644;34546;10513;14455;804;3452;5322;17253;532;562;8215;4478;3466;56275;2265;8265;19585;14293;3580;5202;3085;45745;8287;62902;4926;76739;17141;16383;1255;46230;9680;14126;6206
"Tuscaloosa County, Alabama";74053;48006;22072;34053;13790;3627;1959;10326;6323;26047;21023;6353;24245;19647;2.68;3.26;198591;74053;34224;60161;14183;15970;3984;81899;37285;34518;428;1646;8022;91043;35240;37516;2380;6589;9318;63884;3283;2579;19520;9520;28982;130662;3128;9537;40708;28631;9562;23183;15913;117997;39096;164687;9844;207184;24158;43932;1679;136339;13685;26913;8794
"Matanuska-Susitna Borough, Alaska";32198;22647;9744;18412;7669;1357;675;2878;1400;9551;7644;2595;11100;8519;3.27;3.96;105350;32198;18415;39686;8956;6095;1963;43295;15497;21048;761;1120;4869;40669;11189;20525;481;2949;5525;26576;1453;1072;12540;7001;4510;69513;1612;3457;22841;18912;6752;9880;6059;64444;15939;78217;10046;105238;18404;28825;1533;63448;11293;12965;5578
"Apache County, Arizona";21936;13927;4699;8137;2277;1403;546;4387;1876;8009;7563;2776;6361;7688;3.22;4.37;70568;21936;8038;26126;12830;1638;1150;27264;14484;9381;887;601;1911;28233;13041;9849;456;2552;2335;18890;610;1468;9553;4861;2398;45101;3812;4915;15022;13075;3037;2996;2244;36374;5240;52301;3460;71145;11617;19497;213;40788;5280;10860;6124
"Mohave County, Arizona";90270;56545;15560;41341;8392;5655;2723;9549;4445;33725;26994;13697;18419;43846;2.28;2.78;205748;90270;41493;45993;13346;14646;7176;90845;23090;44490;2655;4281;16329;89114;17386;45378;1983;11881;12486;32899;1505;1855;16118;6323;7098;160767;5710;15088;55424;48237;13282;15673;7353;139969;23026;173941;26143;206088;46877;35574;1506;107298;22405;63216;22966
"Pima County, Arizona";402323;246052;94255;174435;57676;22422;11224;49195;25355;156271;123285;50885;106548;142005;2.51;3.16;1008390;402323;174582;277345;79342;74798;32063;418623;159355;189180;7303;12464;50321;441014;137489;188361;10359;42874;61931;260232;11508;9898;101155;51001;86670;700491;31752;50264;162971;175128;59438;129456;91482;618475;220938;816310;83829;1017187;158997;215561;13470;598151;76483;203475;69044
"Pinal County, Arizona";147936;109641;43895;85289;31265;8779;4481;15573;8149;38295;30665;15801;49688;58946;2.84;3.27;419601;147936;85328;129034;34474;22829;10849;189741;66905;94427;2263;4834;21312;172939;41347;90481;3273;15381;22457;102825;4653;6242;45966;27082;18882;309013;16376;25244;90547;83714;32388;37962;22782;267393;60744;345878;37120;420312;67049;101018;4865;229562;28850;89732;33334
"Yuma County, Arizona";74532;57564;24743;42787;15914;4191;2578;10586;6251;16968;13579;6851;28710;26927;2.76;3.16;205850;74532;42647;64048;17754;6869;3190;86488;26443;49386;1539;2724;6396;80743;19070;46512;1590;6840;6731;54272;3092;3676;22879;12495;12130;135113;15827;17192;36638;31938;10795;15554;7169;102094;22723;154655;16180;205357;26902;53632;1966;112004;11565;39721;13371
"Pulaski County, Arkansas";157678;97688;41876;63278;23142;8543;2653;25867;16081;59990;49801;16387;47945;42561;2.45;3.11;386329;157678;62379;112177;31556;22539;10406;149414;56460;70127;2197;3541;17089;166256;56277;65303;4205;14353;26118;90421;6632;4464;39149;19670;20506;267828;8515;19116;71031;58131;20779;51544;38712;240197;90256;300160;25757;387230;59986;90974;5668;237315;32448;58941;21870
"Washington County, Arkansas";90001;58171;28780;43008;19143;6619;4057;8544;5580;31830;23044;5565;31841;17796;2.54;3.08;228749;90001;43620;67060;10310;17758;6275;93988;37056;45581;922;1664;8765;94984;31280;46715;1151;5948;9890;73297;4572;3391;24931;11706;28697;144365;8374;11945;37867;28326;9163;28087;20603;124046;48690;179916;12305;235036;25708;56922;1835;152196;14269;25918;9604
"Los Angeles County, California";3313908;2193349;908003;1475430;615655;228053;84553;489866;207795;1120559;861334;294537;1069762;951114;2.99;3.69;9920804;3313908;1474037;3137064;1279110;716685;233020;4050623;1832660;1790861;74047;78815;274240;4236435;1648934;1748845;113772;321320;403564;2598036;157996;127929;947784;514612;849715;6957176;847548;587337;1434310;1328967;495228;1482581;781205;5522291;2263786;7912634;251863;10034790;994304;2185775;66025;6501073;462059;1347942;466220
"Mendocino County, California";33794;21433;8548;15035;4762;2236;1415;4162;2371;12361;9977;5777;9307;13306;2.52;3.12;85206;33794;15102;24313;6103;5894;2196;35441;12971;17907;325;735;3503;36500;9310;16324;1449;3157;6260;20013;1886;1537;7622;4728;4240;61385;2779;4723;15545;17722;6092;9122;5402;53883;14524;68832;4875;86511;14526;18510;914;49238;8226;18763;5386
"Orange County, California";1040394;735186;312182;560541;238540;53289;19754;121356;53888;305208;227814;100102;346896;317120;3.02;3.54;3142212;1040394;559285;989608;318549;234376;58539;1278419;487033;650341;17435;28328;95282;1332153;415146;640166;26516;103295;147030;853783;50229;38393;306765;176024;282372;2194598;168831;136395;376454;441507;170872;579012;321527;1889372;900539;2485758;106246;3168615;264617;697975;21196;2006073;109603;464567;133818
"Placer County, California";144691;99968;41669;80969;32958;7387;3428;11612;5283;44723;36054;19182;44477;52782;2.68;3.24;388138;144691;80859;118683;24000;19905;9537;156599;47041;87833;2872;4664;14189;165868;37715;86678;2455;14836;24184;97557;6996;5537;38771;22228;24025;276210;4562;9170;49165;71878;28429;76187;36819;262478;113006;305594;25574;390975;41099;87086;3695;228266;15009;75623;22395
"Sacramento County, California";543560;359266;161554;251752;110712;30092;14156;77422;36686;184294;141664;55080;180599;153310;2.79;3.43;1518252;543560;251205;467055;153544;102888;38350;598117;234811;283980;11208;14234;53884;639449;201929;286194;16328;50729;84269;401301;24550;20634;157760;85181;113176;1045227;64336;57957;229937;260371;104244;217888;110494;922934;328382;1175620;79904;1527845;168932;363667;11424;949730;82020;214448;75488
"Solano County, California";152291;108587;45620;79000;31884;10225;5700;19362;8036;43704;33767;13376;53304;48878;2.86;3.36;435966;152291;79083;137765;39171;27656;11872;179775;66654;87810;4432;5017;15862;184320;52433;89063;4850;14788;23186;107201;7009;5273;43367;25378;26174;308890;15899;17746;72214;86831;30704;57916;27580;275245;85496;344294;30519;434732;49649;99109;3794;266510;22238;69113;23617
"Litchfield County, Connecticut";73598;46847;16782;37003;11717;3294;1336;6550;3729;26751;22394;10819;18198;26211;2.42;3.00;178154;73598;37092;47639;8762;11063;5336;75973;24892;38712;1037;2805;8527;78924;20472;39168;720;7738;10826;37300;1655;2039;15253;9248;9105;134482;2365;6440;42312;26639;12144;25679;18903;125677;44582;148056;10772;179743;19819;32978;845;109748;8948;37017;10026
"Middlesex County, Connecticut";66983;41772;15364;32904;10921;1568;598;7300;3845;25211;20160;9048;16983;22680;2.34;2.94;156671;66983;32892;40579;7679;8538;4687;66951;22433;35378;739;1752;6649;72698;19887;34591;338;6524;11358;37178;2685;1548;13564;7181;12200;119127;2082;3395;26000;22283;11914;26674;26779;113650;53453;133514;8816;160501;17970;28740;1088;100669;8548;31092;8334
"Columbia County, Florida";25678;15657;5761;10747;3818;1922;758;2988;1185;10021;8605;3295;7405;8571;2.56;3.30;65747;25678;10938;17205;7805;4121;1735;29179;9899;12496;943;1686;4155;28287;6875;12344;797;3451;4820;15652;2085;1118;6705;2957;2787;49290;2551;4292;18181;12671;5356;3918;2321;42447;6239;55190;6331;65845;12897;15300;296;38221;7247;12324;5354
"Hernando County, Florida";76163;52370;15415;39287;9432;4590;2393;8493;3590;23793;20020;11544;18464;35819;2.48;2.94;188772;76163;39264;46324;15827;11194;5295;77198;22588;40557;1625;2689;9739;85074;18370;42858;2391;9708;11747;35912;1971;2106;15697;8880;7258;143126;5711;14251;48446;34257;14985;17061;8415;123164;25476;155671;18256;188954;36926;35042;1376;101879;16769;52033;18781
"Martin County, Florida";63070;38310;11141;30863;8159;1599;576;5848;2406;24760;20791;13320;12626;32538;2.49;3.18;156961;63070;30971;42221;10470;10229;3054;68455;21621;34464;1315;2797;8258;71168;15013;33429;1885;10544;10297;27995;1485;840;12291;7826;5553;124631;5452;7121;30926;27322;10753;26634;16423;112058;43057;134009;13920;157630;24444;26485;1431;81483;9037;49662;13976
